Sensor,Monitoring: Y,Monitoring: M,Monitoring: W,Monitoring: D,Uptime: Y,Uptime: M,Uptime: W,Uptime: D,Integration Monitoring: Y,Integration Monitoring: M,Integration Monitoring: W,Integration Monitoring: D,Integration Uptime: Y,Integration Uptime: M,Integration Uptime: W,Integration Uptime: D
ab_permission,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_permission_view_role,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_permission_view,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_register_user,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_role,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_user_role,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_user,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_view_menu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aco_ccl_301_cvpsa_001,45.2407715738,65.0120648966,51.356451,95.24614,99.9936521372,99.9910071957,99.9997685191,99.998842606,59.3479868656,94.2752025862,95.0539744286,95.115265,73.2826548705,89.4558961597,95.7732567876,93.5732169767
aco_ccl_308_cvpsa_001,51.3452571475,77.8369822069,94.8647342857,95.12515,99.9999687187,99.9999571331,99.9998346564,99.998842606,59.3551209049,94.2853164483,95.0943842857,95.25501,65.0568247507,89.7335415316,99.9215905,99.8894738718
aco_ccl_ft_fb001,91.8484434171,94.1815857931,95.0387442857,95.27678,99.261411336,99.923469913,99.9987166582,99.9960826379,93.4252815434,94.3405027931,95.0844945714,95.124245,99.9946988622,99.9345583914,99.9998346564,99.998842606
aco_ccl_ft_fb002,93.142485837,94.3627022414,95.0573862857,95.135,99.2662429344,99.9195032595,99.9945675222,99.9954626451,94.0565506848,94.3407603448,95.1071778571,95.27228,99.9947287018,99.934563219,99.9998346564,99.998842606
aco_ccl_ft_fb003,93.1991695789,94.4006967241,95.1965771429,95.27433,99.2671001581,99.921000983,99.9979546595,99.9987826067,94.0349431627,94.3580127931,95.145885,95.27155,99.9745988632,99.6956265557,99.9998346564,99.998842606
aco_ccl_ft_fb004,93.2966782909,94.3625546552,95.1561921429,95.277664,99.2680974509,99.9215744655,99.9943203798,99.998842606,94.024448556,94.363036931,95.1662137143,95.27155,99.9745991724,99.6956309005,99.9998346564,99.998842606
aco_ccl_ft_fb005,93.2338355845,94.4403614483,95.2171647143,95.27609,98.3540825789,99.9207909486,99.9996067996,99.9972476244,94.0377186978,94.4073103793,95.2065285714,95.41053,99.9745990331,99.6956291764,99.9998346564,99.998842606
aco_ccl_ft_fb006,93.446960446,94.4247808621,95.2163351429,95.275986,98.3620325425,99.9193058113,99.9956175205,99.998842606,94.0563939032,94.4188787586,95.2485,95.27507,99.9745613451,99.6951702111,99.9998346564,99.998842606
aco_ccl_ft_fc601,93.0179141806,94.4530412069,95.2296042857,95.26824,95.1801402039,75.6404053632,15.8189768443,0.0,94.0757784858,94.4332462414,95.208944,95.27516,99.14634771,99.6956284867,99.9998346564,99.998842606
aco_ccl_ft_fc602,92.6112674111,94.4580751724,95.1915588571,95.27003,95.1799286997,75.6460039127,15.8211176979,0.0,94.0696329374,94.4298476897,95.1896775714,95.41394,98.8345511137,99.6951667628,99.9998346564,99.998842606
aco_ccl_ft_fc621,92.9419881722,94.4718918966,95.2080322857,95.407036,97.3283392584,75.6398117082,15.8184674166,0.0,94.0844869778,94.4649424828,95.2493612857,95.414055,99.6608817157,99.6956198661,99.9998346564,99.998842606
aco_ccl_psa_server_system_health,60.64633,60.64633,60.64633,94.99537,99.9997685191,99.9997685191,99.9997685191,99.998842606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aco_ccl_server_frothsensor,92.5689298722,94.0559545172,95.0277771429,95.03472,95.2836994191,85.332841318,99.9998346564,99.998842606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aco_dsn_308_cvpsa_001,85.3093143994,90.0985697931,90.3717457143,91.09995,99.9927631696,99.9911756102,99.9914332417,99.998842606,92.0465959667,90.3584121379,90.9967961429,91.07766,97.2233558144,99.9986414693,99.9998346564,99.998842606
aco_dsn_309_cvpsa_001,87.6950059111,83.8165618966,78.3671702857,58.49175,99.9925999682,99.9917136789,99.9922332404,99.998842606,92.0498746306,90.3476945862,90.9924407143,91.07846,97.2236805875,99.9986454693,99.9998346564,99.998842606
aco_dsn_ft_601_inner,90.7520711667,90.2432217586,90.991278,91.11029,98.1911133897,99.6471324371,99.3536214391,99.998842606,92.8374436056,90.3527491379,90.9776998571,91.08019,99.999996767,99.9999600894,99.9998346564,99.998842606
