Sensor,Monitoring: Y,Monitoring: M,Monitoring: W,Monitoring: D,Uptime: Y,Uptime: M,Uptime: W,Uptime: D,Integration Monitoring: Y,Integration Monitoring: M,Integration Monitoring: W,Integration Monitoring: D,Integration Uptime: Y,Integration Uptime: M,Integration Uptime: W,Integration Uptime: D
ab_permission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ab_permission_view_role,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ab_permission_view,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ab_register_user,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ab_role,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ab_user_role,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ab_user,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ab_view_menu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aco_ccl_301_cvpsa_001,41.4357584,69.22711759,94.41391933,94.95341,99.99136691,99.9910072,99.9998071,99.99884261,51.73050026,86.72333597,94.84264567,95.12238,65.16907544,68.52336959,80.92207057,40.67130527
aco_ccl_308_cvpsa_001,42.07303062,70.32576555,94.50016,94.95352,99.99995548,99.9999537,99.9998071,99.99884261,51.7307348,86.72374166,94.981925,94.98376,52.23853719,56.1080568,94.16906801,97.51258138
aco_ccl_ft_fb001,91.76887717,94.48183024,94.743805,94.9991,99.26107392,99.92373978,99.99465044,99.96790296,93.60512112,94.68659617,94.97406833,94.98605,99.99999677,99.99996009,99.9998071,99.99884261
aco_ccl_ft_fb002,93.06141564,94.71074617,94.99843433,94.99777,99.2662853,99.92077464,99.99494211,99.96965294,94.23560625,94.68370455,95.04781567,95.11902,99.99999679,99.99996009,99.9998071,99.99884261
aco_ccl_ft_fb003,93.11634535,94.71512934,95.04431233,94.998405,99.26709382,99.92145478,99.9998071,99.99884261,94.21416636,94.68617797,94.998201,94.97493,99.99918292,99.99996009,99.9998071,99.99884261
aco_ccl_ft_fb004,93.21540301,94.70116272,95.0448,94.99889,99.26792077,99.9229055,99.99689777,99.98138681,94.20327678,94.67256672,95.04446067,95.11378,99.99918288,99.99996009,99.9998071,99.99884261
aco_ccl_ft_fb005,93.15096735,94.7593681,95.0685355,94.99992,98.3539927,99.92160698,99.9998071,99.99884261,94.21537456,94.73107007,95.06962067,95.11607,99.99918288,99.99996009,99.9998071,99.99884261
aco_ccl_ft_fb006,93.36567586,94.76308828,95.0669865,94.99903,98.3620515,99.92032374,99.9998071,99.99884261,94.2336139,94.73851969,95.07142667,94.97871,99.99918226,99.99996009,99.9998071,99.99884261
aco_ccl_ft_fc601,92.93495431,94.77377741,95.115056,95.13851,96.84045319,95.96481549,99.9998071,99.99884261,94.25349766,94.78656659,95.11776317,95.11769,99.17100028,99.99996009,99.9998071,99.99884261
aco_ccl_ft_fc602,92.52944433,94.79279076,95.16110367,95.13725,96.84003778,95.97005453,99.99757294,99.98543776,94.24848579,94.78488066,95.14215833,95.11947,98.85924109,99.99996009,99.9998071,99.99884261
aco_ccl_ft_fc621,92.85829923,94.83163321,95.16188733,95.13833,98.97459785,95.9651948,99.99429211,99.96575299,94.26179083,94.79685845,95.1216975,94.982735,99.68560404,99.99996009,99.9998071,99.99884261
aco_ccl_server_frothsensor,92.49196229,94.39212121,94.68074917,94.923615,94.9414008,85.33284132,29.67980039,99.99884261,0,0,0,0,0,0,0,0
aco_dsn_308_cvpsa_001,85.37928952,90.3856501,90.732405,90.83092,99.99293614,99.99178578,99.9998071,99.99884261,92.31600231,90.57478797,90.90804667,90.82176,94.64812843,99.99864147,99.99343378,99.99884261
aco_dsn_309_cvpsa_001,87.99831808,87.07437462,83.255984,90.971466,99.99274943,99.99230492,99.9998071,99.99884261,92.32168473,90.58984121,90.93281017,90.82345,94.64834478,99.99864547,99.99345311,99.99884261
aco_dsn_ft_601_inner,90.80686764,90.41561807,90.693591,90.97094,98.20354748,99.77751811,99.99970543,99.99884261,93.1298107,90.57103034,90.9347975,90.82054,99.99999677,99.99996009,99.9998071,99.99884261
aco_dsn_ft_601_outer,91.81005899,90.61712541,90.97161767,90.83309,95.37668244,99.77491263,99.9998071,99.99884261,93.12844078,90.60135003,90.91489267,90.79479,99.39686034,99.99996009,99.9998071,99.99884261
aco_dsn_ft_602_inner,91.82565942,90.64090393,90.9944685,90.97132,95.37465103,99.77877773,99.99957943,99.99884261,93.14358279,90.6215401,90.98576317,90.93538,99.39666745,99.99996009,99.9998071,99.99884261
aco_dsn_ft_602_outer,91.84507266,90.65056134,91.01771933,90.97097,95.37807589,99.77781328,99.9998071,99.99884261,93.14364606,90.66672969,91.01322017,90.83157,99.39671397,99.99996009,99.9998071,99.99884261
aco_dsn_ft_621_inner,91.85273249,90.703308,91.0177475,90.97097,95.37830478,99.77764259,99.99958043,99.99884261,93.15832652,90.6888599,91.07922917,90.936325,99.39693329,99.99996009,99.9998071,99.99884261
aco_dsn_ft_621_outer,91.85900464,90.70811021,91.08694167,90.97158,93.23445089,99.77544463,99.9998071,99.99884261,93.15459247,90.70197369,91.01592583,90.76463,99.39699836,99.99996009,99.9998071,99.99884261
aco_dsn_ft_622_inner,91.84062516,90.73700566,91.0876785,90.83278,95.37804261,99.77815814,99.9998071,99.99884261,93.14682919,90.68282762,90.99279533,90.76463,99.39726719,99.99996009,99.9998071,99.99884261
aco_dsn_ft_622_outer,91.84794666,90.74174348,91.1105425,90.83262,95.3767466,99.77871997,99.9998071,99.99884261,93.15000437,90.70999772,91.05851983,90.93851,99.39684856,99.99996009,99.9998071,99.99884261
